Männervorname,URI
Heinrich,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00001
Oswald,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00002
Jeremias,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00003
Wolfgang,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00004
Marx,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00005
Hans Ulrich,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00006
Schwideri,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00007
Hans,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00008
Martin,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00009
Jakob,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00010
Gebhard,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00011
Georg,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00012
Rudolf,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00013
Abraham,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00014
Arbogast,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00015
Niklaus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00016
Peter,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00017
Lorenz,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00018
Jos,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00019
Antoni,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00020
Andreas,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00021
Ludwig,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00022
Ulrich,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00023
Apollinaris,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00024
Hans Heinrich,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00025
Gregor,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00026
Kilian,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00027
Sebastian,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00028
Thomas,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00029
Albrecht,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00030
Alban,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00031
Christian,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00032
Matthias,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00033
Kaspar,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00034
Hans Othmar,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00035
Hans Balthasar,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00036
Bernhard,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00037
Pankraz,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00038
Benedikt,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00039
Adam,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00040
Hans Rudolf,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00041
Hans Jakob,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00042
Erasmus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00043
Hans Sebastian,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00044
David,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00045
Christoph,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00046
Hans Andreas,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00047
Konrad,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00048
Friedrich,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00049
Bartholomäus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00050
Diethelm,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00051
Joachim,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00052
Balthasar,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00053
Werner,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00054
Josua,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00055
Israel,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00056
Zacharias,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00057
Clemens,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00058
Claudius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00059
Hans Georg,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00060
Samuel,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00061
Tobias,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00062
Hans Konrad,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00063
Felix,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00064
Isaak,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00065
Hans Kaspar,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00066
Hans Peter,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00067
Crispin,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00068
Michael,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00069
Hans Wolfgang,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00070
Hieronymus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00071
Suiderus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00072
Hans Friedrich,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00073
Wilhelm,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00074
Philipp,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00075
Jonas,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00076
Fridli,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00077
Helias,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00078
Daniel,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00079
Hans Ludwig,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00080
Hans Antoni,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00081
Johannes,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00082
Jonathan,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00083
Hans Bernhard,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00084
Gabriel,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00085
